Date,Link,Message
2017-02-23 13:45:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6240131736177516544,"Je comprends ce que tu veux dire sur le \"mou-mou\", un manager qui ne s'impose pas, qui ne décide pas et reste dans l'ambiguïté peut être très problématique. Mais ça ne résulterait que d'une mauvaise interprétation du management bienveillant.
Etre bienveillant est  souvent l'opposé d'être \"bien-gentil\"! Savoir poser des limites, un cadre, un objectif clair, des décisions définitives et signaler, voire sanctionner, les débordements reste important dans cette philosophie. Par contre, il est évident que le canal de communication créé étant plus fiable et la responsabilisation des subordonnés plus forte, ces interventions sont moins fréquentes. La co-responsabilité des pairs est elle aussi plus forte dans ce cas et permet de corriger plus de problèmes avant qu'il n'y ait nécessité d'intervenir pour le manager."
2017-02-23 13:32:50,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6240131736177516544,"J'avoue ne pas connaitre cet aspect. En Management 3.0, on utilise les Moving Motivators, les Salary Formula ou les Kudos par exemple pour symboliser l'avancement, la motivation et la reconnaissance. Sinon, j'ai trouvé ça pour l'Experience Manager : http://www.journaldunet.com/management/expert/64322/entreprises--osez-mettre-en-place-une--experience-manager.shtml"
2017-02-22 11:36:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6231785863798362112,Excellente trouvaille. Ton nouveau sujet d'étude ?
2016-01-12 13:28:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6089800638458269696,"Mexico, Belize, Kosovo"
2015-10-14 07:56:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6057505686806360065,:o
2014-10-08 06:29:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5924105642225733632,Merci Messieurs!
2014-09-08 15:24:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5912087734066905088,Félicitations !
2014-07-07 19:13:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5889652837046046720,Félicitations !
2014-05-02 10:02:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5865470443984539648,Merci tout le monde !
2014-05-02 10:02:02,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2533526-5865497697288482820,Merci tout le monde !
2014-04-28 16:19:02,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A62957423-5866580201957261314,Congrats!
2014-02-12 08:27:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5837491000599117824,GG. Bonne continuation !
2014-02-12 08:27:26,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A77754806-5838572914965782532,GG. Bonne continuation !
2014-02-05 09:42:34,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A47373628-5835308107617562628,Bravo!
2013-12-11 09:57:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5815017913240780800,Merci à tout le monde !
2013-12-11 09:57:24,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2533526-5815740490741481476,Merci à tout le monde !
2013-12-11 08:39:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5815078330348617728,Félicitations !
2013-12-11 08:39:08,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A17292784-5816451809266397188,Félicitations !
2013-12-11 08:32:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A5815017913240780800,Merci !
2013-12-11 08:31:27,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A2533526-5815740490741481476,Merci !
2010-05-30 10:03:07,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1851951-21090810,"it seems that there can be a lot of levels between small teams brainstorming and open innovation. 
In other words: if you add some restrictions to access the group in order to protect the ideas, can you mesure the benefits of sharing more ideas per collaborators vs sharing less ideas by a greater number of people? Also, what is the impact on the quality ? On the diversity of the ideas?"
2010-05-29 01:14:35,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1851951-21090810,"In what context? Do you have examples of both?
These definitions on wikipedia seem to show something more subtle than just the difference between \"open\" and \"collaborative\" words: [http://en.wikipedia.org/wiki/Collaborative_innovation_network|leo://plh/http%3A*3*3en%2Ewikipedia%2Eorg*3wiki*3Collaborative_innovation_network/CYHE?_t=tracking_disc] and [http://en.wikipedia.org/wiki/Open_innovation|leo://plh/http%3A*3*3en%2Ewikipedia%2Eorg*3wiki*3Open_innovation/UmJg?_t=tracking_disc]"
